Název,Kategorie,URL,Free Tier,Free Tier Limits,Pricing Plan 1 - Název,Pricing Plan 1 - Cena,Pricing Plan 1 - Měna,Pricing Plan 1 - Billing,Pricing Plan 2 - Název,Pricing Plan 2 - Cena,Pricing Plan 2 - Měna,Pricing Plan 2 - Billing,Pricing Plan 3 - Název,Pricing Plan 3 - Cena,Pricing Plan 3 - Měna,Pricing Plan 3 - Billing,Pricing Summary,Use Cases
ChatGPT,Chatboti,https://chat.openai.com,True,"Limited messages and uploads, Limited and slower image generation, Limited deep research, Limited memory and context",Plus,$20,USD,monthly,Pro,$200,USD,monthly,Business,$25,USD,monthly,"ChatGPT offers a free tier with limited features, while paid plans (Plus, Pro, Business, and Enterprise) provide more advanced capabilities and support.","ChatGPT je pokročilý AI chatbot, který slouží k interakci s uživateli prostřednictvím textových zpráv. Umožňuje uživatelům klást otázky, získávat informace a vést konverzace na různá témata.

• Uživatel se ptá na konkrétní otázku a ChatGPT poskytuje odpověď.
• ChatGPT pomáhá uživateli s učením nového jazyka tím, že simuluje konverzaci.
• Uživatel žádá o rady ohledně psaní životopisu a ChatGPT nabízí tipy a vzory.
• ChatGPT asistuje při plánování cesty tím, že doporučuje destinace a aktivity.
• Uživatel se snaží vyřešit technický problém a ChatGPT poskytuje krok za krokem řešení."
Claude,Chatboti,https://claude.ai,False,,,,,,,,,,,,,,Na této stránce nejsou dostupné žádné informace o cenách a plánech.,"Claude je generativní AI asistent vyvinutý společností Anthropic, navržený tak, aby byl bezpečný, přesný a zabezpečený, a pomáhal vám dosahovat nejlepších výsledků v práci. Umožňuje uživatelům vytvářet a iterovat na webových stránkách, grafikách, dokumentech a kódu během chatu.

• Vytváření a úprava webových stránek a grafiky v reálném čase.
• Analýza textu a nahrávání obrázků pro lepší porozumění obsahu.
• Generování kódu a vizualizace dat pro technické projekty.
• Získávání výsledků webového vyhledávání přímo v chatu pro rychlé informace.
• Sdílení a spolupráce s týmem na různých projektech a úkolech."
Gemini,Chatboti,https://gemini.google.com,False,,,,,,,,,,,,,,Na stránce nejsou uvedeny žádné informace o cenách a plánech.,"Gemini je osobní AI asistent, který pomáhá uživatelům s různými úkoly a poskytuje rychlé a efektivní odpovědi na otázky. Aplikace je navržena tak, aby zjednodušila každodenní úkoly a zlepšila produktivitu uživatelů.

• Pomoc při plánování schůzek a organizaci kalendáře.
• Rychlé vyhledávání informací a odpovědí na otázky.
• Podpora při psaní e-mailů a dalších textových dokumentů.
• Návrhy na zlepšení pracovních postupů a efektivity.
• Poskytování doporučení na základě uživatelských preferencí a historie."
NotebookLM,Chatboti,https://notebooklm.google.com,False,,,,,,,,,,,,,,,"Tato aplikace umožňuje uživatelům přihlásit se pomocí svého Google účtu a spravovat své osobní nebo pracovní informace. Je navržena tak, aby usnadnila přístup k různým službám a aplikacím prostřednictvím jednoho přihlášení.

• Přihlášení do aplikace pomocí Google účtu pro osobní použití.
• Vytvoření účtu pro dítě, aby mohlo bezpečně používat internet.
• Přihlášení do pracovního účtu pro správu firemních informací.
• Použití režimu hosta pro soukromé přihlášení na veřejném počítači.
• Obnovení zapomenutého e-mailu pro snadný přístup k účtu."
Microsoft Copilot,Chatboti,https://copilot.microsoft.com,False,,,,,,,,,,,,,,Na této stránce nejsou uvedeny žádné informace o cenách a plánech.,"Aplikace Message Copilot je navržena pro usnadnění komunikace a zefektivnění psaní. Umožňuje uživatelům rychle reagovat na zprávy, vytvářet obsah a zlepšovat jejich psaní pomocí různých funkcí.

• Rychlé odpovědi na zprávy v chatu.
• Vytváření obrázků na základě textového popisu.
• Doporučení produktů na základě uživatelských preferencí.
• Zlepšení kvality psaní a gramatiky v e-mailech.
• Psaní prvního návrhu textu pro různé účely."
Replit,Vibe coding,https://replit.com,True,"10 development apps (with temporary links), Public apps only, Limited build time, without long full autonomy",Starter,Free,USD,monthly,Replit Core,$20,USD,per month billed annually,Teams,$35,USD,per user per month billed annually,Replit offers a free tier with limited features and several paid plans that provide varying levels of access and capabilities for app development.,"Replit je platforma, která umožňuje uživatelům snadno vytvářet aplikace a webové stránky pomocí umělé inteligence a přirozeného jazyka. Je ideální pro jednotlivce i týmy, kteří chtějí rychle prototypovat a vyvíjet software bez nutnosti hlubokých technických znalostí.

• Vytvoření hry pro lidi, kteří mají málo času, která pomáhá spolupracovat na řešení záhad s unikátními schopnostmi postav.
• Automatizace složitých pracovních postupů pomocí agentů, které lze integrovat s aplikacemi jako Slack nebo e-mail.
• Vývoj interních nástrojů, které zefektivňují pracovní procesy a šetří čas zaměstnanců.
• Vytvoření prototypu aplikace, který pomohl získat financování a rozšířit podnikání.
• Rychlé nasazení produkčních aplikací, které šetří náklady a zvyšují produktivitu."
Lovable,Vibe coding,https://lovable.dev,True,"5 daily credits (up to 30/month), Public projects, Unlimited collaborators, 5 lovable.app domains",Pro,$25,USD,monthly,Business,$50,USD,monthly,Enterprise,Custom,USD,Flexible plans,Lovable offers a free tier with limited features and several paid plans designed for teams of different sizes and needs.,"Aplikace Lovable umožňuje uživatelům vytvářet aplikace a webové stránky pomocí konverzace s umělou inteligencí. Je ideální pro jednotlivce i firmy, kteří chtějí rychle prototypovat a realizovat své nápady bez nutnosti hlubokých technických znalostí.

• Vytváření osobních webových stránek pro prezentaci portfolia.
• Vývoj interních nástrojů pro zefektivnění pracovních procesů v podniku.
• Tvorba aplikací pro správu událostí a rezervace.
• Vytváření spotřebitelských aplikací pro sledování zdraví a wellness.
• Prototypování B2B aplikací pro zlepšení komunikace mezi firmami."
Bolt,Vibe coding,https://bolt.new,True,"300K tokens daily limit, 1M tokens per month",Free,$0,USD,monthly,Pro,$25,USD,monthly,Teams,$30,USD,monthly,The pricing model includes a free tier with limited tokens and several paid plans that offer increasing features and token limits.,"Aplikace Bolt umožňuje uživatelům vytvářet úžasné aplikace a webové stránky pomocí AI. Umožňuje rychlé prototypování a testování nápadů, což usnadňuje práci produktovým manažerům, podnikatelům a dalším uživatelům.

• Produktoví manažeři mohou během několika hodin přejít od nápadu k prototypu a testovat své myšlenky se svým týmem.
• Podnikatelé mohou spustit plnohodnotný podnik během několika dní, od přistávací stránky po produkt, vše v jednom toku.
• Markeři mohou rychle vytvářet vysoce výkonné kampaně s integrovaným SEO a hostingem.
• Agentury mohou zvýšit svůj dopad a dodávat více projektů rychleji, aniž by musely zvyšovat počet zaměstnanců.
• Studenti a tvůrci se mohou učit praxí a přetvářet nápady z hodin nebo vedlejších projektů na plně funkční aplikace."
Macaly,Vibe coding,https://macaly.com,True,"Up to 1M credits daily, public chats, macaly-app.com domain, form submissions, databases built-in, analytics dashboard, SEO tools",Pro,$25 /mo,USD,monthly,Enterprise,Custom,USD,custom,Hosting,$5 /mo,USD,monthly,"Macaly offers a free tier for basic usage and several paid plans including Pro and Enterprise, with features scaling according to the plan.","Macaly je platforma, která umožňuje uživatelům rychle a snadno vytvářet webové stránky na základě jednoduchých pokynů. Umožňuje generovat, spouštět a rozvíjet online podnikání během několika minut.

• Vytvoření landing page pro startup během několika minut.
• Návrh osobní webové stránky pro profesionální prezentaci.
• Vytvoření portfolia pro umělce nebo designéra.
• Založení webové stránky pro restauraci s online rezervacemi.
• Vytvoření stránky pro událost s možností registrace."
Cursor,Vibe coding,https://www.cursor.com,True,"Includes one-week Pro trial, limited Agent requests, and limited Tab completions.",Hobby,Free,USD,monthly,Pro,$20 / mo.,USD,monthly,Pro+,$60 / mo.,USD,monthly,"Cursor offers a variety of pricing plans including free and paid options for individuals and teams, with features scaling based on the selected plan.","Cursor je aplikace navržená pro zvýšení produktivity při programování pomocí umělé inteligence. Umožňuje uživatelům efektivně kódovat, provádět revize kódu a integrovat se s různými nástroji pro spolupráci.

• Automatizace kódování pomocí AI asistenta, který navrhuje kód na základě uživatelských pokynů.
• Integrace s GitHubem pro snadné provádění revizí kódu a sledování změn.
• Použití AI pro generování dokumentace kódu na základě jeho struktury a funkcionality.
• Využití pokročilého autocompletion pro urychlení psaní kódu a snížení chybovosti.
• Podpora týmové spolupráce prostřednictvím integrace s nástroji jako Slack pro efektivní komunikaci."
