"id","name","description","category","icon","created_at","english_description","url"
"1","Hunyuan-3D","Generování detailních 3D objektů z textu.","3d","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Generating detailed 3D objects from text.","https://www.hunyuan-3d.com/"
"2","Hype3D","Tvorba 3D modelů z 2D obrázků.","3d","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/sketchup.svg","""2025-04-27T14:42:39.749Z""","Creation of 3D models from 2D images.","https://hyper3d.ai/"
"3","Gumloop","Nástroj pro tvorbu vlastních AI agentů z existujících workflow.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","Tool for creating custom AI agents from existing workflows.","https://gumloop.com/"
"4","Runbear","AI agenti připravení pro Slack a Teams během několika minut.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agents ready for Slack and Teams in just a few minutes.","https://runbear.io/"
"5","Relevance AI","No-code platforma pro správu týmu AI agentů.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","No-code platform for managing a team of AI agents.","https://relevanceai.com/"
"6","Simular","AI agent, který využívá počítač jako člověk.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agent that uses a computer like a human.","https://www.simular.ai/"
"7","Suna","AI agent, který se chová jako virtuální zaměstnanec.","agent","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/probot.svg","""2025-04-27T14:42:39.749Z""","AI agent that behaves like a virtual employee.","https://www.suna.so/"
"8","Synthesia","Tvorba videí s realistickými AI avatary z textu.","avatar","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Creating videos with realistic AI avatars from text.","https://www.synthesia.io/"
"9","Heygen","Rychlá tvorba brandovaných video avatarů.","avatar","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Quick creation of branded video avatars.","https://www.heygen.com/"
"10","Skyreels","Nástroj na tvorbu videí z nápadu na kliknutí.","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","Tool for creating videos from an idea with a click.","https://www.skyreels.ai/"
"11","TwelveLabs","AI analýza obsahu videí (obraz i zvuk).","video","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/adobepremierepro.svg","""2025-04-27T14:42:39.749Z""","AI analysis of video content (image and sound).","https://www.twelvelabs.io/"
"12","Make","Platforma pro vizuální tvorbu automatizací bez kódování.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","Platform for visual creation of automations without coding.","https://www.make.com/"
"13","Zapier","Automatizace a propojení aplikací bez potřeby IT znalostí.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","Automation and integration of applications without IT knowledge.","https://zapier.com/"
"14","Relay","AI agenti pro integraci a správu nástrojů.","utility","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/zapier.svg","""2025-04-27T14:42:39.749Z""","AI agents for tool integration and management.","https://relay.app/"
"15","FloraFauna AI","Nekonečné plátno pro kreativní práci s AI modely.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Infinite canvas for creative work with AI models.","https://www.florafauna.ai/"
"16","Canva","Online grafický editor s AI funkcemi.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/canva.svg","""2025-04-27T14:42:39.749Z""","Online graphic editor with AI features.","https://www.canva.com/"
"17","Comfy Workflows","Automatizace kreativních AI procesů.","design","https://cdn.jsdelivr.net/gh/simple-icons/simple-icons/icons/blender.svg","""2025-04-27T14:42:39.749Z""","Automation of creative AI processes.","https://comfyworkflows.com/workflows"
